tweet,sentiment,emotion,class
Edhachom oru padam tamil odirka avan nadichadhu Enda moolaye illadha mutta ku    Maariye pesitu iruka,negative,anger,bully
IN Adha thanda ADMK nu potu kotta eluthula potrukan avane kootani katchi ku campaign pannitu inga vandhu list potu vechurukan andha list olunga paakama nee vandhu olaritu iruka avan oru kirukan nee avana vida periya kirukan,neutral,anger,bully
Yen    peru pora alavuku Punda perusa iruka da aravani funda,negative,anger,bully
Unnaku sunniye illayamey neeye fingering pannitu iruka Unga appan maari nee poda angutu poi oombu,negative,anger,bully
Enaku oru aasai inga iruka nirya peru oda orginal photo parkanumnu especially u  amp  shakthi boy,positive,happy,non bully
Nura  twtz  Yow andha time Sathyajyothi last ah d kuda Collaborate panna movie maaran so andha situation ku apdi thaan keka mudiyum palaya tweet ah thedi kandu pudichu iruka yaruya nee         Vaathi  CaptainMiller,negative,disgust,bully
Mohamad Ex ak fan Nu sonna apo munnadi kutti kuduthu irupa pola atha enna sollura Unga aatha ipo evan kuda annupi vachu iruka vijay kuda va Illa surya kuda va Illa dhanush kuda va sk kuda va yaru kuda da,negative,anger,bully
FZ Nalla manusahan tha athukaga namma ak va pathi pesuna summa iruka mudiuma atha,negative,anger,bully
Sambavam weight ah iruka Poguthu       Kadharals ah ipove draft panni vachukongaa da small boys    Maaveeran,negative,anger,bully
Un kaila thanda maname iruka avengers kang dynasty script a nalla writing panniruda samy,positive,fear,non bully
Kelambi avanga nattuku poda   Inga enna vengayathuku Kanda naayoda varala solli oppari vachuttu iruka,negative,anger,bully
Nanum iruka romba nanri,positive,happy,non bully
Kaathukute iruka vendiyadhu dhan,positive,happy,non bully
cr pathila pesuringaley da     CR movie motha iruka da              po po poi vijay fans UM oomburatha paaru nga,negative,anger,bully
Apdi orama poi oppari vai da Komali    Illana nerla vaa enga RSS office ku   potta Koli kunju ku andhalavuku thairiyam illa nu theriyum adha twitter la kambu suthittu iruka,negative,anger,bully
Ahh umbuninga da nenga ungalu kuklaiye umbikuringa pola otha rubber punda vachi erukuravan la wig wig nu solli umbi iruka,negative,anger,bully
yrs kalichu IV ponapo beach ponen pona August uh ipo marubadi craving for Beaches        Oru Thallosophile ah mountain area la iruka vekranga,neutral,happy,non bully
Dei ennamo nee matum ambalai dra mair pesitu iruka en veetku varavan lam avala  Okkama  Ponathey illa,negative,disgust,bully
Vijay appan sonnathu neyabagam iruka,neutral,disgust,bully
Paakurathuku paakava iruka,negative,surprise,bully
Dai yaara ketu da ivanunga kuda sparing potutu iruka ne,negative,anger,bully
Yaruya intha comedy piece photo va thukitu suthutu  adei potta  unaku tha vekam manam ila   hathuku elathuku irukathu nu nenaikatha  na la Ajith fan ah thalaya kuda katta mate  vekam ye ilama tweet potute iruka,negative,anger,bully
Eluthu oru nala vella kedaikurathu kula iruka velaya vidamatan nu eluthu,neutral,disgust,non bully
Bayangara Sombaaa iruka ya neee Un kaatulaaa malathaaaa,negative,happy,bully
Gaaji ya vum Iruka,negative,disgust,bully
Iyyappa  Thambi ne inga thaan irukiya   ennaya un follow senji vechi iruka,negative,disgust,non bully
FZ  Ethuku vekka padanu perumaiya solluven da ak fan Nu ak nadika theriyamala mela vantharu funda   paavam nee enna pannuva   avan olunga movie select panni naduchu iruntha avan yen ippadi   peru fan oda iruka poran,positive,happy,non bully
h  S         En heart la iruka open panava door ah,positive,happy,non bully
one of the worst food delivery partners  they are clubbing the orders who lives nearby and delivering food which causes delay in service  Change this crap and don't think that ppl r fool enough to do again  Idhula vera pakkathula iruka veetuku delivery chg,negative,sad,non bully
Andavar with his hairstylist Pradeep Nissanka Nish    Theeya iruka yaaaaa KamalHaasan Indian,positive,happy,non bully
sharath         Yena ulaga kuppa varisu iruka mothu athu kooda ethaiyum eedu sekka mudiyaathu,neutral,disgust,bully
Yenga ooru olu vangi porantha devudiya maganey naa paatuka summa fun Aha thana pottan avnga cmt la nee enna devudiya athu ithukura ippadi tha Unga aatha vum road la pora enna v kulla kuptu unna petha athey maari nee UM iruka,negative,disgust,bully
Paadra ungalkye     rs na   Adha ketutu  inum uyiroda iruka engalku evolo,negative,anger,bully
youthwing  Chennai  Innuma da oppari vachuttu iruka kothadima   Ungamma Gopalapuram kudumbathuku kundi kaluvi mudichittu veetuku varuva  Wait pannu,negative,disgust,bully
Perfecttwitz  Intha thandam engayu iruka matan athula,negative,anger,bully
Idha dhan sonen sarkar la vara mari vitu iruka hair style nu,neutral,surprise,non bully
Space ilama than irukuradha Potrukan Space Vekka yaaru Ungoppana Space Kudupan    Lokesh Oda Carrer Best Kandipa Kaithi Than  Selva Odathu Ao Masterpiece Than  Idhu Rendume Unaku Therilana Inga yenathuku Mmbitu iruka,neutral,disgust,non bully
Ipo nee enna oombi iruka devudiya funda magan,negative,anger,bully
Cr illama D movies Irundhuchu Atha vechu than Haters Aadidu pesidu irundhanunga Ippo Athum Vara start aaeiduchu      Kadharite iruka poringa da          Dhanush  Vaathi Sir CaptainMiller,neutral,disgust,bully
neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,positive,fear,non bully
Gomtha Onnumey Upto datela iruka maatre yaaruda neenga   CookWithComali Upload panuraaa,neutral,sad,non bully
Nybagam iruka  AK,neutral,surprise,non bully
Dineshh     Reply panirye punda puluthi la potu dha pesuviya    un dp la iruka potta ajith nenachiya ipdila pesa,negative,anger,bully
Tamil la iruka,neutral,surprise,non bully
off Enna da zombies kuda senthu bit padam eduthu vachirkingala  Atha kuda vittu vaikama Mandi pottu iruka pola,negative,anger,bully
joel Pondaati iruka kelatu pundaya,negative,disgust,bully
Aana onnu da kothadima   Unga annanum neeyum orey vidham    Rendu perthukum romba chinnadhu   unga Annan paravalla kasu iruku polachikuvan   nee paaru ipdi aadu naaye nu  mbittu iruka,negative,disgust,bully
Aana romba pavam da nee   ungamma um vittutu poita   nee ipdi anadhaya twitter la pora vara aambala pasangala ella   mba kooptutu iruka,negative,anger,bully
Edhu oru aattu kutty ah kooda vittu vaikalaya da  Romba kaanju poi iruka da kothadima  Oru nalla potta naaya   ya kalyanam kattiko   Adada adhuku andha potta naaye othukumanu theriyalaye   pulu size ah yaaru kattikuva sollu,negative,anger,bully
Devil   Unala ungomma pendala    suma ooompidre iruka ajith msg vandale    poi angudu ooompugada thevudia pasangala,negative,disgust,bully
Devil   Yenda koothi manasthchi ilama poi puluguraiga nu theatre owners soldrainga nium pee pulugura   atha vidu sunni motho unaku adutha vela soru iruka collection pundaya pathi pesura   poi pee thunudu anna modulation pathu kai adichukoo,negative,disgust,bully
Nambala suthi aalunga irunthalum thanimai ah iruka mari feel panni irukingala sir,neutral,sad,non bully
Gopalapuram veetla kundi kaluvi vitutu iruka kothadima   Olunga kaluvi Vidu illada kallalaye adichu ooda vitruvaanuga,negative,anger,bully
Oh ho   ungammavoda koo va kilichadhu neethana   Gopalapuram veetla unnapathi complaint pannitu iruka  Nee evlo avasara pattalum ungamma late ah thanda varuva  Naa dhan sonnala  ava Gopalapuram veetla kundi kaluvuradhula busy ah irukanu  Wait pannu night uh varuva,negative,disgust,bully
is a hooman neraya seasons vera  iruka adhula,neutral,surprise,non bully
Siva Yennaya panitu iruka,neutral,disgust,non bully
Hasini maari  ipo iruka ponunga  cringe tha   panuvanga so  parama poi velayapathu urupada paaru cinema nadike mathiri iva venum ava venumnu solama      Dhanush na bless u annaya,neutral,disgust,non bully
Inna mame epadi iruka,neutral,surprise,non bully
aji Ena dimps   kushia iruka,neutral,happy,non bully
Adei namma tamil sentiments mathri avangalukum Antha sentiments iruka da  even rishabhshetty  rishab denied to do this during his interviews  Cringe ku use panitu irukanunga adei  Cringe guy Pugazh  CookuWithComaliSeason  Kantara  Don t ruin sentiments and kill comedy,neutral,surprise,non bully
prasann Una Dan kalaika mudium enaku Vera yar iruka guys la friends,positive,happy,non bully
Anbuoffl Adhan ni book padichittala yen D fan ah iruka,negative,disgust,non bully
Yoww   nee ajith fan ah Rajini fan ah    mentalans maari pesitttu iruka,negative,disgust,bully
Alien     Enna magane olaritu iruka,negative,disgust,bully
Devil    Anathama poi palvadi la poi alunga da dummy piece thayoligala    beast varisu nu soothadi vangide ungaluku monna punda pechu vera   pee moola iruka payaluga polampuga da nala,negative,anger,bully
Eppovum thititu irupa inaiku sogama iruka adhaan,neutral,sad,non bully
Epdra iruka,positive,happy,non bully
Village areas la iruka theatres lam  innaiku than Dada va release yea panranunga Innum   or   weeks solid ah Odum   Kavin Dada,neutral,surprise,non bully
Ithu enga Ivar iruka planet la ya,neutral,surprise,non bully
dmk  Apa dmk admk rendu perum velayaduringa mmm sari nengatha avanga konduvanthatha stop pannunga avanga open pannanga avanga open pannanganu solitu iruka,neutral,disgust,non bully
Watha ET Trailer Views Song views lam Pota oru Kulla Naainga Kuda Uyiroda Iruka Mattinga,negative,disgust,bully
mano    Dai unaku vera velaye ilaya da epdi da epa pathalum twitter layum iruka veetla TV um pakara OTT um pakara velai ku elam poraya ilaya  ila twitter la Rajini ku muttu kuduka soli unaku salary ethum tharangala   Ne podra tweet elam pathale yaru da Ivan paithiyam nu tha thonuthu,negative,disgust,non bully
Kaathunu iruka,neutral,sad,non bully
Apdiya  Even though I know many people who liked Vikram more than Kaithi and it has proofs like the highest collection movie of lokesh's direction and also in rating wise Vikram got more and highly impressed by many people  Un ista mayiruku pesuna ketutu iruka mudiyathu da baadey,positive,happy,non bully
vohra Innumada nambitu Iruka,negative,disgust,bully
little  Anniyan Average ah  Yamma enna ma sollitu iruka,neutral,disgust,non bully
Ungalala nalla irukanum     But ungala vida nalla iruka kudathuu    real life fact Dada,neutral,fear,non bully
Eppa dei ennada ella padathulayum iruka,neutral,surprise,non bully
Off  Ama sollitaru          unga skin enna steel ah senchuvachu  iruka    naanga thirumpa  adichalum ungaluku pazhuthukum,negative,anger,bully
little  Beast below average dhan  Romba biased a iruka koodadhu bro,neutral,disgust,non bully
SK     avi nash   Kartikeyan   fc  TFC  kuti      kamal name ila   yenda avara add panala     Yy haters nu caption la pottu Iruka la bro ipdi than teva ilatha vela panna haters varuvaanga,neutral,disgust,non bully
amalapaul  Dusky Amala   ennama iruka dusky katta,negative,disgust,bully
DEI WATCH PARTY IRUKA,neutral,surprise,non bully
Shriya  Super ah iruka,positive,surprise,bully
inthankena koothi twitter vittu poita naadu azhingiruma  enna twitter ivanala tha iruka pola   iva twitter irukarathukum DMK ethuku aaampidu irukanunga  kiruku koovainga,negative,disgust,bully
Kgf pathu Copy pani lusu tha na ma eadu thu vachi Iruka ga   enga orula release aagi   day's na nu en friend pona ga aporam one more person    peru tha ticket vagu na ga Ava Padam poda mata nu soli ta    Micheal atha ticket ah runbabyrun ku mathi vitu ta theater Kara,neutral,disgust,non bully
Birow link iruka,neutral,surprise,non bully
offcl Nala iruka,neutral,surprise,non bully
Enada ithu Saamiya iruka getup ah comali show la vachu  cookwithcomaliseason  No comparison required on the original   But ithu theva ilatha aani again from Vijay tv shit,negative,sad,bully
Olunga paaru Unga amma THa Unga v la iruku amma va pannura alavuku gaaji la iruka,negative,disgust,bully
Jeichite iruka mudiyaathu ella time um ella seriya pogathu peak paatha actors  legends eh flop kuduthu irukanga  Thatti vidu,positive,happy,non bully
Nala iruka,neutral,happy,non bully
Neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,neutral,sad,non bully
Ponnu iruka va,negative,surprise,bully
Nan inga dan irukan andha moodevi vara mata d whatsapp la dan active ah iruka anga vena gc create pannu,negative,disgust,bully
Oru fan oru light tha iruka veetla,neutral,sad,non bully
manoj  Ora sombu mayama Iruka pola Manoj,negative,disgust,bully
Setha kiliku koondu edhuku da potta  Gopinath ngra pera oombinath vachuko  Eana already nee Gopalapuram veetla athana pannitu iruka,negative,anger,bully
Chedii paki epadi iruka busya phone edukala,neutral,happy,non bully
pulikesi     Adapavigala  Nallavey iruka matanunga,negative,anger,bully
Epdi iruka man  Paathu romba naal aachu,positive,happy,non bully
en ex ena mayir ah kuda mathikala ava purushan kuda jollly ah ava early mrg days ah enjoy panitu iruka,negative,sad,non bully
Already reverse gear lo iruka better than ps,neutral,happy,non bully
Mamae move on pannu ya   aththan bad story nu neeyae sollitiyae innuma antha ponnukaga feel pannitu iruka,neutral,sad,non bully
Ivala la patha iva la paka theva ila   paru paka   mari Iruka ga,negative,surprise,bully
NS    Torrent link iruka,neutral,surprise,non bully
Bro wrk la iruka speaker vara mudiyathu,neutral,fear,non bully
Ethu maari pesitae iruka oru doli elaiyae  lover nu kuda venam our frnd aa kuda oru doli ela,neutral,sad,non bully
En pa     Ipdi walking vandhutu    Fast food sapdringale epdi pa healthy ah iruka mudiyum  Nanga walking vandhdhe idha sapdadhan,neutral,anger,bully
Tweets  Athu iruntha nee yen Ajith ku fan ah iruka pora,negative,disgust,bully
Ithu dhan indha thittathoda flip side   Varushathula ella naalum vayal velai iruka porathilla   Overall ah season time illadha naatkal ah pathu indha     days schedule panna yarukum problem irukathu,positive,happy,non bully
Athey tha nanu kekuran    peru maari iruka Unga appan maari illa ithula oru Kelvi Nu thukkitu vara Unga appan ta Unga aatha ta intha Kelvi ketta eppadi iruku nalaiku unnakey mrg agala apo ippadi ketta unnaku eppadi irukj,negative,sad,bully
Enga iruka korangu,negative,anger,bully
azeem Unga  offl anna ooru la iruka girls id ha pathu intha mathri azeem support panni abusive panna sonnara ha  Sollu pa kettudalam  Suriya va tag pannithan kekuran,negative,anger,non bully
Evalo cuts tha vachu iruka,positive,surprise,non bully
off     Iruka naala thaan solren D kaprm STR thaan   athan bitter truth,neutral,sad,non bully
Maturity to Mee Dei nan vanthathuku apramum nee apdethaan iruka,neutral,anger,bully
They removed this promo will remove this content for sure tomo  Adei namma tamil sentiments mathri avangalukum Antha sentiments iruka da  even rishabhshetty denied to do this during interviews Cringe ku use panitu irukanunga Cringe guy Pugazh  CookuWithComaliSeason  Kantara,negative,disgust,bully
ShwetaMohan   Idhu full song iruka,neutral,happy,non bully
arjundas Enga vetu pakathula iruka clg tan,neutral,happy,non bully
Raguram Nee solradha yaaru kekaranu twitter la oppari vachuttu iruka dance master   Nee evankooda searndha engaluku enna,negative,disgust,bully
Naa ipo varaikum pussy na poonai nu tha nenachen     Yen vera ethavathu iruka,neutral,surprise,non bully
Vetrimaran poola poitiya da     tc vaathi ungoppan vetrimaran ah eduthan   intha oolaiye pudichi inum oompitu iruka  vera ethachum eduthutu vanthu en zip ku vaai vai en poola un vaai ulla vitu aaturan,negative,anger,bully
Jathu Unga kita irukadhadha na engakitalam iruka pothu,negative,anger,bully
Na vaathi oda tshirt la iruka puliyoda kannadi ya paakuran    vikku mari kannadi pootu irukeyyyy,neutral,surprise,non bully
Off Inga iruka poruki thinra Ella trackers naingalukkum soru pottu valakira periya nai vijaynrathu unakku theriyala pathiya,negative,disgust,bully
BALA   Yaara nee Mutta bunda Maari Pesitu Iruka  Avan Avanuku Ethu Pudichi Iruko Atha Than Vilayduvanga Loosu Bunda Maari Pesitu Iruka,negative,anger,bully
Pinkvilla post iruka bro,neutral,surprise,non bully
Adei madaiya kooli velai ku Vara vadakkan's elaarum   madam kalichu unnoda akka thangachi chai ah parichi kola panitu jolly ah Avan oru ku poi settle aagiduranga   Ni muttu koduthutuu iruka   sangiSpotted,negative,anger,bully
queen na character nalladhaan irundhu aganu  illena yaru respect panuva  queen na ve iruka modiyadhe   i cannot stop tactics  good tactics may also be there  until i know whats tactics,positive,disgust,non bully
dmk  Pacha sangi ipo atchi la yaru iruka  TASMAC ellam mudiyacha  Kothuadimai Vella nalla pakura,negative,disgust,bully
in Link iruka,neutral,surprise,non bully
nan Kadariey saavuda jaari veri tayoli   Eppadiey kadari kadari seeman ku suttu nakkitu iruka vendiyatu taa,negative,anger,bully
Ipo problem illa macha     Athaan ne iruka     x machi irukaan    Alien    intha chinna koothiyan irukaan   onum problem illa,negative,anger,bully
This guy  tamilnadu la Iruka matha Ella theatre la um nee venum na neraiya collect pannirkalam aana intha   theatre la naanga than di      Jailer,neutral,happy,bully
k Dai Ara mental enga post la nan pannalam da nee than sanghi dalda dappa veiche ketu Inga suthitu iruka  Enna annamalai jiii product Vera level mutta piece ha iruku,negative,anger,bully
S    Aish fanclub la vacancy iruka,neutral,surprise,non bully
Cruise off   Oho  Ada dei love naa ivlo public ah iruka koodaathu privacy varaikum kaatitu  Ivan handle la nerayaa ponunga photo iruku poi paaru,negative,disgust,bully
kamaraj Vote podatha bro unagaluku pudikalana   dmk matrum athan tholamai katchikum nexr time   yaru ithukulam serethu poraduvangalo avunga kuda travel panuga  nan en thalivar mela iruka patrula polambitu irukan,positive,happy,non bully
Adei padma inu oditi iruku nu katuna  ni etho rohini ah vachu pesitu iruka   matutavani boys    th day le leading agi mothama gali agi inu comments epdi ya paniriga   vekam ila  next film ku promotion ah,negative,anger,bully
High end products ku thaan ads la rate sollamataanga like benz  audi   Orae brand car  normal maruti ads la rate irukum  nexa ads la rate irukaathu Phone ex  iphone    ku rate poduvan aana    max pro ku pottu iruka maatan,neutral,disgust,non bully
Enna sachin bro enna mariye iruka,neutral,happy,non bully
Aprm s  pakkamaiya s  papanga ennada mutta thanama pesitu iruka,negative,anger,bully
dmk Dei kothadimai Naya manasache ilama pesatha    ne tha atchi iruka enga raththu panu parom    mudiyathu ila,negative,anger,bully
So cool     Vaathi kannadiyum tshirt la iruka kannadiyum same to same   Vikraman  VaathiVikraman,positive,happy,non bully
Una madri actually iruka mudyadu theryuma    You trust and love everyone    Romba deep ah avangala analyse pani judge panradhu illa   You behave based on what you see  apo apo influence mattum aidra  But neeya mudivu pana you like people for who they are,positive,happy,non bully
Shuffle aagi iruka,neutral,surprise,non bully
vfc  bro replay pandrathala than eppadi pottu iruka  avanuku comments la athikamma varuthu  adutha  tweets ku ethu react pannama irungalan avannea poiduvan,neutral,disgust,bully
Rajini vijay mutual evanum iruka mattan,negative,disgust,bully
Mams yendha season pathutu iruka,neutral,disgust,non bully
Un vaaila rubber vechutu iruka pesama oombitu irundhiya ajith madhiri eh irukinga potta aatam,negative,anger,bully
perk Enga da iruka,neutral,sad,non bully
Brother   apo Iruka nelama vera   ipo Iruka nelama vera   business inum apdiye va iruku    big star ooda movie epo epidi vandhalum oru MG irukanum   adhu ipodhiku Vijay ku matum dhan iruku IMO   best eg  beast,positive,happy,bully
Nanba already neenga solrathala panitutha iruka but no use,neutral,disgust,non bully
Gnabhakam iruka enna,neutral,surprise,non bully
Me to me   Silanal Nalla jolly ah iruka  Sila nall sogama iruka  Purinjiko machan Love yourself,positive,happy,non bully
vachitu naane vaangalam iruka go ahead,neutral,disgust,non bully
expiry   Adiyae AK thatha innum ha da usiroda iruka neeyalam,negative,disgust,bully
Avanum adhe dhan vara maatan vandhalum effective ah iruka matan,negative,anger,bully
Arumaiyana uruttu   antha report varadum athukutha nangalum waiting   unga munchula kariya poosa    orediya polampiday iruka kudathu,negative,anger,bully
Intha Mathiri ipo oru Movie pananumnu aasa irukum but mudiyathu Avara suthi Iruka Business antha alavuku agiduchu,positive,sad,non bully
Ajithian   Ithuku pinadi iruka arasiyal romba peru   Already ne keta kelvilaye evlo koomutanu theriyuthu   Ini peasurathu waste     unaku etha mari karaikudi pakathuna kanadukathala irunthu evanachun varuvan avan kuda peasitu iru   mute,neutral,disgust,bully
Nee enga pa iruka athula,neutral,sad,non bully
SK   adhu ponna iruka vaaipu illa bro    yetho fake,negative,sad,non bully
percent nalavana laam iruka vena atleast keezha potu methikama irukalam,negative,disgust,non bully
thangam Subaa   Ivangaluku puriya veingalen   Ne urupuda matanu soldrathu vera   Road la iruka nai ha kulipati nu mention pandrathu vera    athu purinja than ungaluku ena sola varanganu theriyum   Concern iruku than ana atha avan entha parvai la vechirukan ndrathu mukiyam,neutral,sad,non bully
BindhuR  Ne thedum nenjam naanaga iruka koodatha,neutral,sad,non bully
Eluthu temporary happiness vachu santhosama iruka mataenu eluthu,neutral,anger,non bully
Pinnadi Iruka Pani ah vida bright ah iruka thala,positive,happy,non bully
Modi oda fake propaganda kum intha erode bye election kum enada samantham  anga iruka makkal komutta nuh nenachu pesuringala   ipo Samantha ilatha topic neenga thaya pracharam panringa,neutral,sad,non bully
h I always love you    kalailaye edo kadupa iruka pola,neutral,sad,non bully
Kitchen la kooda women dominance iruka koodathu nu Cooking kathukuravan than da unmayana Misogynist,positive,happy,non bully
ethana states pathu iruka,neutral,surprise,non bully
Introvert nu bio la change pannala iruka,neutral,sad,non bully
Job vacancies Iruka sollunga akka,neutral,sad,non bully
Dei loosu Anga Brahmins irunthanganu than solren   avarum athan ketaru   loosu mathiri pesitu iruka,negative,anger,bully
Full record iruka,neutral,surprise,non bully
Joker DC la ipdi yethum Iruka,neutral,surprise,non bully
Veera Simba Reddy tamil la iruka,neutral,surprise,non bully
Eagle     RithiVJ  Na iruka,neutral,surprise,non bully
Muthumai kaaranama naanum sasikalavum court ku varamudiyaadhu nu vaaidhaa ketadhu     maraindavargalai thappa pesakoodadhunu irundhaalum   neenga chumaa iruka maatringq,neutral,sad,non bully
Lokesh      Bro indha paiya oda page link Iruka bro    Vera level sambavam pannirukaru    Subscribe panna and avaroda more videos pakka  wait pandra,positive,happy,non bully
Apdi oru katchi iruka,neutral,surprise,non bully
Thank you   NCD la lock in period iruka  Can I withdraw in between  One more doubt is that income is taxable,neutral,surprise,non bully
Ne enna maithuku arasiyala iruka ne panu,negative,disgust,bully
Nee innum irukumbodhu naanga iruka enna,negative,anger,bully
Man   Insta account innum active ah iruka,neutral,surprise,non bully
Tharani   VTK Nayabagam Iruka  Epdi Tha VTK Audio Launch La STR Vararunu Producer  Ku Tata Kattikittiu Irunthom,neutral,happy,non bully
Off  Nee ipdi la sonna mattum sottayana polakaama iruka poradhu ila  Jailer varatum  aprom dhan main adiye iruku,negative,anger,bully
Ellam pics la iruka date paatha theriyum  ni oru agmark aamai nu  Leo,negative,anger,bully
Unaku family la iruka,negative,anger,bully
ABISHTU D Ku Kunju Iruka,negative,disgust,bully
nerdy   Dei echa   Thaalvu thailee   Pesran paaru pechu   Silra koodhi nu nee pesradhulaye teridhu   Una ellam vechiruka vendiya edathula crct ah vechirukanum   Adhan aditu iruka   Konjam poru,negative,anger,bully
Oorula iruka elaarayum vambuluthu sanda seirathu Aprm Twitter vara maten solitu thirumba vanthu depression status podrathuku  Life ah paaru bro    Real life persons kita mingle aagu  inga verum than varum,neutral,anger,non bully
Naduvula   nu pottu iruka la musk paiyan name um indha maari dha number oda varum adha doubt,neutral,fear,non bully
Iva epdi iruka pachiya solunga,negative,happy,bully
Twitzz  Twitzzzzz  Unaaa apadi sumaa iruka vituduvomaa naanga ingaa vaa d unaku iruku,negative,anger,bully
please fix twitter da mixture vaaya  nalla kutharkama tweet ah poduviye ipo enna paninu iruka,neutral,disgust,bully
Yow ne ennaya vanmatha kakkitu iruka unaku pudicha nadigar ra kondadu ya   en innum ipadi irukinga,negative,disgust,bully
Intha nambikai ilathanala thaney avunga thanichu iruka palagitanga   oru murai sudu pata manam epadi bayam ilama thirumba antha uravukulla poga ninaikum avalo easya ellathiyum maranthutu,neutral,sad,non bully
anbue   Arunvj    baanu  jasmin        JD        Unga tweet error    Celebrity iruka vendiya iduthala small ur varum broww,positive,happy,non bully
Thoothukudi ku ethum vela iruka,neutral,surprise,non bully
INDvsAUS   Australia won  Great match    India played well but win panni iruka vendia match,neutral,sad,non bully
Naanu paathan  Tdy dha iruka idhu,neutral,sad,non bully
VK     azeem  Eppa nenga than fame pitchai edu ka vanthu tu Inga ollaritu iruka  Fame pitcahi eduthu thu Unga azeem fans than pa,negative,anger,bully
Inga iruka vendiya aaley ila da nee,neutral,anger,bully
TeaShop open pannu bro  IT Companies Adhigama  Iruka Side  Neeye Ukandhu Vela Paaru    Then Neeye Raaja Even Yaaraiyum Edhir Paakama Olacha Nalla Padiya Irukalam,positive,happy,non bully
expiry   Nee poranthathu vera oru pundai ku unga anna vijay poranthu oorula ellarum othu thaaa potanthaan unga appan ulagathula iruku ellarum othathu la poranthaaa nee unga amma va othu un thambi poranthaa un thangachi sevvai kerakathula iruka aliens porathaaa da ulaga thevidiya family,negative,anger,bully
Lawrence  vasu oda touch ithula iruka  scene,neutral,surprise,non bully
kuzhals   Except few  age la maturity ah iruka vaipilla   andha few also will get maturity based on experience in short span of exposure to variety of humans Now it's probably due to digital yugam more exposure is happening to children,positive,happy,non bully
Enda epa pathalum thaniyave iruka  Na thaniya illa da ena thaniya aakitanga,neutral,sad,non bully
SK  Yow summa iruya already kaalailaye ippadi tweet pannaa  ippo nee vera ippadi pannitutu iruka,negative,fear,bully
offl Yow epdiya mayonnaise pidikama oru piravi iruka mudiyum Naan hotel ponaley mayo enga unlimited nu pathu dhan povaney,negative,disgust,bully
Mutta pasangala  Reincarnation  concept iruntha athu Mahadheera va      Apa love concept iruka padam ellam Alaipayuthey va  Story and screenplay matters  Setha anathaama kedanga da clownu kyooties,negative,disgust,bully
Aaana onnu   trophy adicha MI kooda ivlo thenavetta iruka maatainga,negative,disgust,non bully
Innaiki match fullave TeamIndia oda fielding romba mosama iruku     st innings mudichitu dressing room la enna pesuvanga    especially Semi Finala iruka appo  staraikelungal starsportstamil,negative,sad,bully
VK   azeem  Innum ha da bb content hae urritu iruka eppa nenga romba danger pola,negative,disgust,bully
Indha pic Hd Iruka,positive,happy,non bully
VK  azeem  Unagala mathri fame pitchai eduka mattom da dalda dappi  Iruka fame hae pothum  Meikura thu eruma ithula enna perumai unaku,negative,disgust,bully
moodi tu iruka pondati ni deserve panle da   pilla,negative,disgust,bully
Athu padi iruka kudathu mams audio launch la apo tha ithu perusa therinchu irukum,positive,happy,non bully
RockySk Road la poravan ta vangi kudichu kudichu munnadi pregnant ara alavuku veengi iruku pola seri seri Gundu koothiyan enamo hit kuduthu nakkuna maari inga vandhu nakkitu iruka,negative,anger,bully
kmr   VK  azeem  Yaru da ambi gif la viku kanniyan veshathula iruka madrilay iruko,negative,disgust,bully
RockySk Tamilnadu thanduna yaru nu teriyathavan la tier list laye iruka matan daaa Pesama dalaya bike vlog panna sollu intha vayasu athu mattum tha mudiyum gundu pundaiku,negative,disgust,bully
Wikipedia la lam indha movie Parthi iruka a,positive,happy,bully
Deii boomer kulla proof proof nu pesura nee unga appa amma ku tha poranthanu prooof iruka thailleeee,negative,anger,bully
RockySk Arivu ketta punda pesa teriyama CP panitu suthitu iruka chiii odi poda punda mavane,negative,anger,bully
azeem   Aprm yaen da en tweet la kadhirutu iruka lusu vittu poga vendiyathan hae,negative,anger,bully
muzhu chandramukhi ya maari iruka nama Rajesh ah parunga,negative,happy,bully
avi nash   kitty Appo nee edhuku vro iruka,negative,sad,bully
Nee ean kothadima oppari vachuttu iruka   Adhu avanga katchi oda personal matter,negative,disgust,bully
Na summa irunthalum   ne summa iruka mata macha,negative,happy,non bully
avi nash  Ayalaan lam release aavum nu nambikka iruka na,positive,sad,non bully
Maaveeran Ayalaan SK   SK VP      padam kanaku crct ah iruka,positive,surprise,non bully
meedhi iruka moonu padatha vida kammiya dhan bro pudikum,negative,sad,non bully
Dei Netflix iruka,positive,surprise,non bully
thala itha dhan nee   masama sollitu iruka  i really admire your political knowledge,positive,surprise,non bully
Athu therinja naanga yen ya amaithiya iruka porom  apdi therinju iruntha twitter top trending la irunthukum    Epotha announcement varum,negative,surprise,non bully
Raja rajacholzaroda perana pa nee ila entha natuku raja va iruka,positive,happy,non bully
Failure story nu potathala than padikave start panna success nu potu iruntha paduchu iruka matan  Yappavume failure story la than oru interest iruku,positive,surprise,non bully
