tweet,sentiment
SK     avi nash   Kartikeyan   fc  TFC  kuti      kamal name ila   yenda avara add panala     Yy haters nu caption la pottu Iruka la bro ipdi than teva ilatha vela panna haters varuvaanga,neutral
DEI WATCH PARTY IRUKA,neutral
Kgf pathu Copy pani lusu tha na ma eadu thu vachi Iruka ga   enga orula release aagi   day's na nu en friend pona ga aporam one more person    peru tha ticket vagu na ga Ava Padam poda mata nu soli ta    Micheal atha ticket ah runbabyrun ku mathi vitu ta theater Kara,neutral
Birow link iruka,neutral
offcl Nala iruka,neutral
Nala iruka,neutral
Neelambari Pls poi thoongu  Medicines naala nalla thookam Varum  Don t strain your eyes  Phone ah vechutu dhayavu senju thoongi rest edu   twitter n naanga inga dan iruka porom   Pls take good rest,neutral
Oru fan oru light tha iruka veetla,neutral
Chedii paki epadi iruka busya phone edukala,neutral
Already reverse gear lo iruka better than ps,neutral
Mamae move on pannu ya   aththan bad story nu neeyae sollitiyae innuma antha ponnukaga feel pannitu iruka,neutral
NS    Torrent link iruka,neutral
Bro wrk la iruka speaker vara mudiyathu,neutral
Ethu maari pesitae iruka oru doli elaiyae  lover nu kuda venam our frnd aa kuda oru doli ela,neutral
off     Iruka naala thaan solren D kaprm STR thaan   athan bitter truth,neutral
ShwetaMohan   Idhu full song iruka,neutral
arjundas Enga vetu pakathula iruka clg tan,neutral
Naa ipo varaikum pussy na poonai nu tha nenachen     Yen vera ethavathu iruka,neutral
Na vaathi oda tshirt la iruka puliyoda kannadi ya paakuran    vikku mari kannadi pootu irukeyyyy,neutral
Pinkvilla post iruka bro,neutral
in Link iruka,neutral
S    Aish fanclub la vacancy iruka,neutral
High end products ku thaan ads la rate sollamataanga like benz  audi   Orae brand car  normal maruti ads la rate irukum  nexa ads la rate irukaathu Phone ex  iphone    ku rate poduvan aana    max pro ku pottu iruka maatan,neutral
Enna sachin bro enna mariye iruka,neutral
Shuffle aagi iruka,neutral
Mams yendha season pathutu iruka,neutral
perk Enga da iruka,neutral
Nanba already neenga solrathala panitutha iruka but no use,neutral
Gnabhakam iruka enna,neutral
vachitu naane vaangalam iruka go ahead,neutral
Nee enga pa iruka athula,neutral
thangam Subaa   Ivangaluku puriya veingalen   Ne urupuda matanu soldrathu vera   Road la iruka nai ha kulipati nu mention pandrathu vera    athu purinja than ungaluku ena sola varanganu theriyum   Concern iruku than ana atha avan entha parvai la vechirukan ndrathu mukiyam,neutral
BindhuR  Ne thedum nenjam naanaga iruka koodatha,neutral
Eluthu temporary happiness vachu santhosama iruka mataenu eluthu,neutral
Modi oda fake propaganda kum intha erode bye election kum enada samantham  anga iruka makkal komutta nuh nenachu pesuringala   ipo Samantha ilatha topic neenga thaya pracharam panringa,neutral
h I always love you    kalailaye edo kadupa iruka pola,neutral
ethana states pathu iruka,neutral
Introvert nu bio la change pannala iruka,neutral
Job vacancies Iruka sollunga akka,neutral
Full record iruka,neutral
Joker DC la ipdi yethum Iruka,neutral
Veera Simba Reddy tamil la iruka,neutral
Eagle     RithiVJ  Na iruka,neutral
Muthumai kaaranama naanum sasikalavum court ku varamudiyaadhu nu vaaidhaa ketadhu     maraindavargalai thappa pesakoodadhunu irundhaalum   neenga chumaa iruka maatringq,neutral
Apdi oru katchi iruka,neutral
Thank you   NCD la lock in period iruka  Can I withdraw in between  One more doubt is that income is taxable,neutral
Man   Insta account innum active ah iruka,neutral
Tharani   VTK Nayabagam Iruka  Epdi Tha VTK Audio Launch La STR Vararunu Producer  Ku Tata Kattikittiu Irunthom,neutral
Oorula iruka elaarayum vambuluthu sanda seirathu Aprm Twitter vara maten solitu thirumba vanthu depression status podrathuku  Life ah paaru bro    Real life persons kita mingle aagu  inga verum than varum,neutral
Naduvula   nu pottu iruka la musk paiyan name um indha maari dha number oda varum adha doubt,neutral
Intha nambikai ilathanala thaney avunga thanichu iruka palagitanga   oru murai sudu pata manam epadi bayam ilama thirumba antha uravukulla poga ninaikum avalo easya ellathiyum maranthutu,neutral
Thoothukudi ku ethum vela iruka,neutral
INDvsAUS   Australia won  Great match    India played well but win panni iruka vendia match,neutral
Naanu paathan  Tdy dha iruka idhu,neutral
Lawrence  vasu oda touch ithula iruka  scene,neutral
Enda epa pathalum thaniyave iruka  Na thaniya illa da ena thaniya aakitanga,neutral
Nallarkum na  Oru   pasanga iruka gang  kola seira Vela   oru payan amaithi hero    ponnu ooma  heroine   Ivanga rendu perayum sethu vaika frnds try panni sanda vanthu sethuduvanga  hero avangala kola pana poi sethuduvan  Antha ponnu thaniya railway station la wait pannum,neutral
T    nataraj   Adhu onu dhan iruka   vera ilaya,neutral
naan mean pannadhu en following la iruka SK mutuals ah other actor mutuals illa  Unwanted fight pannitu irundhanga,neutral
Edukuthu Heroic movie tamila iruka iruntha link venum,neutral
SK na cameo iruka illaya Rls date,neutral
Ithan ivanga kita iruka prachana   Ipo nee nalla irukurathala antha ponna avanga appa amma un kita irunthu pirichathu sarinu agidathu   anthaluku tq vera   nengale ipdi enathayachum nenachi manasa thethikurathukaga ipdilam lam potukitu irukurathu,neutral
Ipo lam yaru apadi iruka,neutral
Eppoda nu iruka nee,neutral
Indha maari iruka virumbhuguran   idha bookmark panni CSK vs MI match appo thookitu varan,neutral
Offcl  Boozer Ipo iruka mb nilama adhaan,neutral
Top   la Iruka movie  Adikadi maarite irukum,neutral
BindhuR  Survive pandradhu romba kastam nga    nammalala angalam iruka mudiyadhu   paaka asaiya dhan irukkum but winter will kill us there,neutral
h   ne Ena inga aludutu iruka unaku enachu,neutral
Avunga apdi irundha namalum apdi iruka koodadhu bro,neutral
Nani birthday spl edit iruka    bro,neutral
Namba ena senji irukomo atha soli vote kelunga Bro  inum antha generation la iruka pola neeum pesitu Avan adhu panitan edhu panitanu,neutral
Election commission iruka,neutral
Ne oru girl ne ipdi Dan irukanum    Idha Dan pananum nu na rules LA poda maten  Ne independent ah iru      Oru time relatives avarkita Ena unga ponnu ipdi pesitu iruka istathuku iruka neenga kekardilaya nu ketaduku  en ponna pati enaku terium nu oru statement Dan sonaru,neutral
Jana Governor tweet keela Iruka comments parunga oruthan TRB Raja ah tag panni  sir arrest him  nu potu Irukan,neutral
Unga olukam velakenna ennaku northeast ponnunga kittayum kashmir makkaltayum ketta theriyum  Entha thairiyathula oru makkal thernthedutha governmenta meraturanunga  Ulagathula iruka Ella military karanum orey marithan,neutral
Yes bro   got an option to move there but tax kagave venaam nu solitean  Just almost     salary angaye spend panra mathiri thaan iruku  athuvum with kids education fees ellam iruntha gaali  No one will understand this   ellarukum unakenna pa foreign la iruka thaa solvaanga,neutral
Naanum santhosama  illa namma kooda irukavungalum nammalaala neemathiya  iruka mudiyala  life,neutral
Joker Athan ava Iruka la,neutral
iyar Full tym ne dha nyabagathula iruka Ena panradhu twitter varadhae una paka dha,neutral
Tweetz    kyootie Dei nee Ella proof vechu Iruka,neutral
expiry   yenda mela iruka video paaru da award oda adhu perusu   adhuve vijay kita iruku nee ennada award illanu comedy panninu iruka,neutral
Yov editor nee poidu vettiya post thana potutu iruka,neutral
ben  Nee en ya oruthan potadha ipdi Ela pakamum potutu iruka,neutral
Kasa kasa nu iruka,neutral
dmk Thayavusenju intha paatiku paathukapu kudunga   Please intha naainga bera kamunu iruka matanungaa,neutral
So only Vera ethachum que iruka illa na poi edit pannava Rmb nerama pending la iruku,neutral
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,Neutral
ENPT ku kaathu kadanthathellam oru nimishathula poiruchu,Neutral
Remake of Malayalam Mohanlal movie Devadoodhan,Neutral
Sakthimaan fans like Sivakarthikeyen fans comment,Neutral
rajini and akshay fans hit like,Neutral
Ellam avan sayal movie mathiriya irukku??,Neutral
Hey Makkalay yaaru Darbar Motion Poster announcementku apram vantheenga,Neutral
Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's,Neutral
Aditi yum iruka  apo duet song tah          Maaveeran  Kartikeyan,neutral
IN Adha thanda ADMK nu potu kotta eluthula potrukan avane kootani katchi ku campaign pannitu inga vandhu list potu vechurukan andha list olunga paakama nee vandhu olaritu iruka avan oru kirukan nee avana vida periya kirukan,neutral
Vijay appan sonnathu neyabagam iruka,neutral
sharath         Yena ulaga kuppa varisu iruka mothu athu kooda ethaiyum eedu sekka mudiyaathu,neutral
Cr illama D movies Irundhuchu Atha vechu than Haters Aadidu pesidu irundhanunga Ippo Athum Vara start aaeiduchu      Kadharite iruka poringa da          Dhanush  Vaathi Sir CaptainMiller,neutral
En pa     Ipdi walking vandhutu    Fast food sapdringale epdi pa healthy ah iruka mudiyum  Nanga walking vandhdhe idha sapdadhan,neutral
Maturity to Mee Dei nan vanthathuku apramum nee apdethaan iruka,neutral
This guy  tamilnadu la Iruka matha Ella theatre la um nee venum na neraiya collect pannirkalam aana intha   theatre la naanga than di      Jailer,neutral
vfc  bro replay pandrathala than eppadi pottu iruka  avanuku comments la athikamma varuthu  adutha  tweets ku ethu react pannama irungalan avannea poiduvan,neutral
Ajithian   Ithuku pinadi iruka arasiyal romba peru   Already ne keta kelvilaye evlo koomutanu theriyuthu   Ini peasurathu waste     unaku etha mari karaikudi pakathuna kanadukathala irunthu evanachun varuvan avan kuda peasitu iru   mute,neutral
please fix twitter da mixture vaaya  nalla kutharkama tweet ah poduviye ipo enna paninu iruka,neutral
Inga iruka vendiya aaley ila da nee,neutral
Doli username crt ah vechu irukenga      Aprm iva anil ila da     Vaaram vaaram oruthar ku fan ah irupa    Joker dei neeyum avala matri crt ah username vechu Iruka   jodi porutham pakkava iruku,neutral
"Boni kapoor sir ini entha update illama ethum release panathinga sir, intha chinna pasanga tholla thanga mudiyala",Neutral
Padaiyatchi nu sonna mattum ungalukku jaathi veri nagi reddi settiyar mudaliar nu sonna adhu jaathi veri illaya,Neutral
Ninga vena yenkuda classah passah suthla aana yen massu yennanu teriyathulla,Neutral
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",Neutral
dmk ku vote potutomnu yarelam ipa feel panitu irukenga ipa teriyuthu daw eps uh unga arumai seirenganu ungala thappa pesi seira ivanugala kondu vandhu mudunju poch,negative
daii kiruku bunda goundamani senthil kuda sattaiya kaltti padathula vanthanga six pack illana muditu irukanu vjs broke panran adutha join pana kudathu namma kita illana sunni sathitu irukanum,negative
pan india padam naale action fantasy apdi irukanum nu expect panranga athan problem,negative
antha bayam irukanum da sanghi,negative
semma profit aana next movie ku director illa neelam inniyaram seththu irukanum da deii aamai munda,negative
yabbah konjanerathula nee potta uruttula naanae maatirupen justu missu nalla urutra man nee,negative
savukku ku koduthuttu meedhi dhan madesh eduthutu ponarunu madan clear uh solrare neenga madesh elathayum aataya potta madri narrative set pannitu irukinga,negative
Iyyappa  Thambi ne inga thaan irukiya   ennaya un follow senji vechi iruka,negative
one of the worst food delivery partners  they are clubbing the orders who lives nearby and delivering food which causes delay in service  Change this crap and don't think that ppl r fool enough to do again  Idhula vera pakkathula iruka veetuku delivery chg,negative
Anbuoffl Adhan ni book padichittala yen D fan ah iruka,negative
mano    Dai unaku vera velaye ilaya da epdi da epa pathalum twitter layum iruka veetla TV um pakara OTT um pakara velai ku elam poraya ilaya  ila twitter la Rajini ku muttu kuduka soli unaku salary ethum tharangala   Ne podra tweet elam pathale yaru da Ivan paithiyam nu tha thonuthu,negative
en ex ena mayir ah kuda mathikala ava purushan kuda jollly ah ava early mrg days ah enjoy panitu iruka,negative
azeem Unga  offl anna ooru la iruka girls id ha pathu intha mathri azeem support panni abusive panna sonnara ha  Sollu pa kettudalam  Suriya va tag pannithan kekuran,negative
SK   adhu ponna iruka vaaipu illa bro    yetho fake,negative
percent nalavana laam iruka vena atleast keezha potu methikama irukalam,negative
Aaana onnu   trophy adicha MI kooda ivlo thenavetta iruka maatainga,negative
Na summa irunthalum   ne summa iruka mata macha,negative
meedhi iruka moonu padatha vida kammiya dhan bro pudikum,negative
Athu therinja naanga yen ya amaithiya iruka porom  apdi therinju iruntha twitter top trending la irunthukum    Epotha announcement varum,negative
Maharaja Dey yen da naai maari pinadiye vandhu reply panitu iruka    dha chi po,negative
Thiruttu theeviravadha DMK la iruka nee pesadha pechada     Adipom  mbuvom nu pesitu Kadasila bayandhagoli DMK boys tweet ah delete pannitu ooduna kadhai ellam theriyadha,negative
Stray dogs should be controlled   neutering   put down   adoption    Should be combination of these    Illana ipdiyae kadi vaanginu iruka vaendiyathu thaan,negative
swiping on left on these hot vadak boys thinking they are way too over my league  only for me to receive  You missed a potential match   Match aanalum oneum kilichu iruka maaten  so is coool,negative
Ada paadu pasangala oruthakuda va road la iruka mattanunga,negative
ivanuku dupe lam iruka,negative
Ennana iniku overtime pathu kadichitu iruka,negative
ivara pathta death vara madiri irukku,Negative
Remake of Malayalam Mohanlal movie Devadoodhan,Negative
En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae,Negative
Rajini ah vida akshay mass ah irukane,Negative
"Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala",Negative
Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga,Negative
92k views 132k likes  Fraud,Negative
"Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.",Negative
92k views 132k likes Fraud,Negative
pani poori ku pirandha unaku thaai mozhiyoda arumai theriya vaaipilla ongi sevul le vitta amma nu kathuviya mummy nu illa maatha ji nu kathuviya,negative
alagana valimaiyana kundi oppatharku arumai,negative
loosu thayoli cini market epdi iruku nu paru da punda,negative
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,negative
avan oru aalu punda bullet oru poolu punda ne oru kena punda,negative
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,negative
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,negative
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,negative
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda,negative
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,negative
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda,negative
dei mi fixing panuthuna complaint pani ban panra malumutti punda,negative
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,negative
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da,negative
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,negative
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda,negative
lusu punda trigger aagi olaratha da,negative
shumma iraa malumutti punda,negative
years pan punda aaittu ambani mafia pathi pesuthu paaru naai,negative
oh my paruppu puli theviduya punda,negative
yes bro punda avlo soft ah iruku maami ku,negative
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative
ippaium katharu da thevudiya punda,negative
look semmaya iruku da punda,negative
prakash kena punda,negative
unga amma ku punda irukka ookka vara solren,negative
gay punda dei,negative
ne vangiko da punda,negative
appo nee punda thevdiya,negative
poda punda,negative
dai nee mudra punda,negative
paathutu pesu da potta punda,negative
morattu rofl bro mass bro poda punda,negative
intha punda ithaan chance nu over ah panitu irukaan,negative
ivaru periya punda oodra sunni,negative
kalusada punda dei,negative
adei theavangu punda,negative
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda,negative
athayea ne social media la than da sollura pea punda,negative
unga amma punda irukku da thayoli mavane,negative
ada kiruku punda,negative
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee,negative
chi gay punda,negative
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first,negative
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than,negative
punda punda,negative
good morning da punda,negative
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana,negative
ivanga oru aalu punda padathula win pana mudila pundaingala,negative
kena punda palvadi,negative
yoww ennaya moonji punda idhu,negative
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda,negative
vaiyatha ulla ilutha six pack ada dummy punda,negative
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha,negative
punda mane,negative
poda sotta punda,negative
enda punda unaku la interview eduka enna thagudhi irukuda,negative
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala,negative
ava dance punda attitude koothy lam paatha ericha punda than varuthu,negative
loosu thayoli cini market epdi iruku nu paru da punda,negative
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,negative
avan oru aalu punda bullet oru poolu punda ne oru kena punda,negative
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,negative
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,negative
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,negative
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda,negative
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,negative
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda,negative
dei mi fixing panuthuna complaint pani ban panra malumutti punda,negative
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,negative
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da,negative
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,negative
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda,negative
lusu punda trigger aagi olaratha da,negative
shumma iraa malumutti punda,negative
years pan punda aaittu ambani mafia pathi pesuthu paaru naai,negative
oh my paruppu puli theviduya punda,negative
yes bro punda avlo soft ah iruku maami ku,negative
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative
ippaium katharu da thevudiya punda,negative
look semmaya iruku da punda,negative
prakash kena punda,negative
unga amma ku punda irukka ookka vara solren,negative
gay punda dei,negative
ne vangiko da punda,negative
appo nee punda thevdiya,negative
poda punda,negative
dai nee mudra punda,negative
paathutu pesu da potta punda,negative
morattu rofl bro mass bro poda punda,negative
intha punda ithaan chance nu over ah panitu irukaan,negative
ivaru periya punda oodra sunni,negative
kalusada punda dei,negative
adei theavangu punda,negative
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda,negative
athayea ne social media la than da sollura pea punda,negative
unga amma punda irukku da thayoli mavane,negative
ada kiruku punda,negative
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee,negative
chi gay punda,negative
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first,negative
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than,negative
punda punda,negative
good morning da punda,negative
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana,negative
ivanga oru aalu punda padathula win pana mudila pundaingala,negative
kena punda palvadi,negative
yoww ennaya moonji punda idhu,negative
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda,negative
vaiyatha ulla ilutha six pack ada dummy punda,negative
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha,negative
punda mane,negative
poda sotta punda,negative
enda punda unaku la interview eduka enna thagudhi irukuda,negative
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala,negative
ava dance punda attitude koothy lam paatha ericha punda than varuthu,negative
nee yaaru da tharkuri punda avan kaeta kelviku samantham illama olaritu iruka,negative
indha sildra punda vera,negative
sotta than vilum vayasu aiyrum romance punda ye varathu enjoy na ennanu keppom love apdina enna nu keppom aga motham manushan mari iruka matom,negative
sotta punda,negative
deiii punda panrathu thevidiyathanaam ethula vera soon nee sunniya umbathan,negative
dei mendal punda valarppu naai thayoli dhanush poola oombi polachittu pechu punda mattum nalla than ya irukku,negative
poda kulla punda,negative
fake id punda suma iraaa,negative
ivru periya punda poda sunni,negative
dai thayoli elumbaa fdfs filla panna vakku punda illa idhula poster pathi pechu pundalaam thevayaa daa unakku originald la vaada potta elumbaa,negative
ada lusu punda kasol isplace in himachal pradesh gaaji koothiyane,negative
gaaji punda dei,negative
mutta punda kanna nalla thorandhu paru enga aalu pannadhu,negative
antha padamum red gint than da kulla punda,negative
kena punda,negative
kena punda itha thukitu vara ivalo neram gomma punda,negative
dai bommer punda poda,negative
proof kaattraaa punda,negative
poda punda,negative
poda punda,negative
poda punda puli okk loss than beast loss ha yaara nee,negative
gotha punda,negative
nkp flop nu solra mutta punda lam yaarnu paatha anil pundaga dha vera evanum flop nu solla matan,negative
fake froud punda,negative
zee news ella news laium potanga indha thevdiya pasangaolu vitu suthranga adhum nambura mada punda thevdiya maganeh,negative
angutu poi oombu jhon kokkan tweet poi paaru ila sundar tweet ah poi paaruda pea punda therinaaiku porandha thevdiya maganeh,negative
dei mental punda rcb match continous lsing team da mayiru mumbai all matches win oru punda arivuyum ila csk women teamum ila,negative
owner ambani dhan da csk kita lam women teame ilaye adhan dhoni poi women ku support srini mama kita keklaya nu ketan da punda,negative
rendu peru mention pannan srini mama and dhoni adhan ketan yara sonnanu samadha punda ila ma pesu hari,negative
sunni mathiri dp punda,negative
neengala kadha punda uda koodathu da sunni,negative
motivation lam irkatum first srini mama kita soli women team form panna solu da punda,negative
gomma punda,negative
po da punda,negative
ava enkita epavum pesa matta enaya parthale poda punda nu tha soluva neeye pesu da poi dm la,negative
mairu bala thevidiya payale amai thevidiya punda,negative
ama ivaru periya cid punda orama poda tharkuri nayaeee,negative
neinka matum than hack pannuvenkala punda nankalum pannuvom next pushi anand number release aakum paakiriyaa,negative
revenge is revenge da punda canada thayooli ne matum than hack pannuviya nankalum pannuvom,negative
poda froud punda,negative
oombiye valranda thevidya magan komali punda,negative
fitness vechu ena pana ipl la verum cup than adichurkan varushathula mada punda dhoni rohit varushathula cup,negative
garbage movie ah adhu yenna et nu ninaichiya da punda ask ur kullan family member theatre he ll say whodoing garbage movies amp whothe king of box office,negative
nellai laam oru ooru punda neeyallam oru aaalu punda,negative
neeyallam oompa than di laayaki kandroli oru match kooda adichi tharla moonji pundaya mattum soga pundaya vachikuva pee punda queen aam queen koothy queen kandroli,negative
indha punda update thara maran next year dhan pola,negative
dai otha neeya periya mafia punda otha ongala yennaki eppadi suuthu addika poorangalo appo erruku da onnaku ommala,negative
unoda pn padam dhanda thevdiya punda una mari aalunga naala dha fans kulla sanda varudhu otha dei vekama ilaya da sothu la uppu pota thingara ila pii ya thingaraya da bunda mavanea,negative
duckmaster liton das kangaladesi punda,negative
fans kulla fight varthae unna maari punda naalatha,negative
editing da punda,negative
ennamo tamil la ajith than athiga filmfare vachuruka maari pechu punda filmfare vachu irunthum vijay kaal kila than irukan mr ajith vijay movie telugu celebration ithu maari video ajith ku onnu kaatu da aamai,negative
seri thunivu nalla padam illa vera edhu nalla padam sarkar bigil mersal master theri beast varisu idhelam nalla padam apdi dhana pee punda oru off beat film panradhuku dhill punda kedaiyadhu commercial masala illana vijay zero da accept the reality,negative
amah broh avan lusu punda,negative
uncle ne ena vida china paiyana dai kelatu punda summaa iruu daa,negative
agent tina dha rolex vida talk of the town ah iruthuchu andha time la athuvu illama rolex character ah picha pottathu loki picha eduthathu surya edukurathu picha ithula egathala punda vera,negative
apa neium itha video va pathutu sirichutu tha irunthiya da piyyan kulla punda,negative
umpu thevdiya paya sunni soothadi kuduthachu punda muditu irukanum vaai punda than,negative
anthaa payam irukanum uupicis,negative
unna paatha paavam ah iruku di ipdi aayitiye kadaisila unnoda palaya tweets ella eduthu pathu padichu sirichutu iruka inimel moodikitu irukanum seriya ipodheku kelambura bye di darling enkita vechen ipdi dha irukum nelama,negative
thevidya payan ulla dha irukanum yaarum thappa padikadhinga what meant was education should be useful not to be wasted like this iyervaal,negative
arr already tamilnadu oscar vaangi romba naal aachu really rrr deserved we proud that got oscar as indian we shud proud but if come to comparison for this one then arr already bagged oscar to tn so pocha muditu irukanum golts congratulations team,negative
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative
yevanavathu tweet potta odanea copy old elam pathachu semma adi pola la pathachi fulla unaga dala ya kaluvi uthirikaga,negative
amala ji next dalai padathula heroine nadikuranga th scene la rubber pudiji aaruthu vitu poda potta nu solranga nama madam padathula mukkiyamana emotional scene,negative
poda potta pundai,negative
paathutu pesu da potta punda,negative
wait for outsiders they will give an initial to ur daughter son potta thayoli,negative
dai potta nalla vandhurum olunga idiru,negative
paragraph type panu azhudhuteh potta thevdiya indha azhuvu azhuvudhe,negative
poda potta toili,negative
ithula potta cheeyan uncle ah,negative
nee potta bunda nu nenachen poda comali,negative
dei thayoli naan ne potta ss ku sonan,negative
nee yaruda panda karadi ku pant shirt ah potta madhiri volunteer ah vanthu vandila yerura,negative
hmm appo keeravani better than ilayaraja nu post podu ambalaya irundha potta,negative
potta paiya,negative
dai thayoli elumbaa fdfs filla panna vakku punda illa idhula poster pathi pechu pundalaam thevayaa daa unakku originald la vaada potta elumbaa,negative
ari da potta,negative
naanum ambala than nanum aambala than moment potta koothi,negative
potta naaye dei maadesh,negative
potta anils,negative
ambalaya junni ah iruntha antha admin bundaya space ku kootitu vaa potta matri page la pottu buluthuna periya maira avan panrathu mollamaari thanam ithula periya pudingi matri vera pesraan,negative
komma soothula ommbuchu kodi poda amai koothi potta koothi,negative
poda potta,negative
john suriya potta picha theriyama video edit pannitu irukan piyaan kulla kuthi fan,negative
appan yarunei theriyadha anadhai tevdiya paya un address engada theru porukki first unaku ella irukanu paru appala aduthavana umbu avar illana unakei address mayiru oru pundaiyam illai nee ellam pesalama de first goppan yarunu therinjuttu vade potta thayoli,negative
sontha dp vaikka theriyatha potta orama poi oombuda,negative
pooda potta,negative
lokesh vijay ku sr prabu potta pichanu therichum veliya katikama suthum thevagugala,negative
Summave iruka maaaatan pola,negative
Maxx  Zayn    Nanu antha list ila iruken ipo tha kevalama iruku ivana poi pethu iruka Nu,negative
Inga iruka heroes padathaye ott la thaan paapanunga idhula adutha state hero ku vaai vakkiradhu,negative
Edhachom oru padam tamil odirka avan nadichadhu Enda moolaye illadha mutta ku    Maariye pesitu iruka,negative
Yen    peru pora alavuku Punda perusa iruka da aravani funda,negative
Unnaku sunniye illayamey neeye fingering pannitu iruka Unga appan maari nee poda angutu poi oombu,negative
Nura  twtz  Yow andha time Sathyajyothi last ah d kuda Collaborate panna movie maaran so andha situation ku apdi thaan keka mudiyum palaya tweet ah thedi kandu pudichu iruka yaruya nee         Vaathi  CaptainMiller,negative
